action_tool_name,state,reform_category,Action_or_Tool,action_tool_type,description,data_announced_passed,effective_date,project_type,implementation,relevant_urls,executive_orders_leg,EO_Leg_ID
Creating an intervenor support grant program,Massachusetts,Benefits for Nature/Communities,Tool,Applicant Support,"Provides underserved stakeholders up to $500,000 to intervene in DPU and EFSB proceedings.
",,,General,Fully Implemented,"https://eea-datalake-prod.s3.us-east-1.amazonaws.com/prod/fileservice/e8fb65c3-6855-43a9-9a6b-cfe4595adcb1.pdf?X-Amz-Expires=120&X-Amz-Security-Token=IQoJb3JpZ2luX2VjEF8aCXVzLWVhc3QtMSJIMEYCIQCz87nq%2FKRNiPx8PSqk03nHSijIwgc%2FnA1D4FOx3GJlwQIhAN9V9RXDLRTdszA5neLb6OS4o%2B%2BkpdE3zHpdyTB0rBptKrQFCCgQBRoMMTU0NDQ2ODI2MzIxIgxHLZTmAAg7d1ofnA4qkQUHfXma8NWMuxeh00bfM9NL0UUhDQEautkRo3VQcv1mngEigEtr9lY%2FEFk5RKQyHx1tO5aFNTFww49wC%2BuFArvOgBug2JRB3NBGpD96%2FIe3zFk3NBS0RlQn9%2Br8ROjDIu%2FHSsmOHkuqjveqbC45Qe6X9yx9PhF7fyBUSZFyrnF9nE28aRFGZimSz4FZ4vKNd59IwQbcCQLTHL8R6ePT75xxcU%2BsXeb%2BNwgnfGFg6YY2AzjkOssblI59uLyiDXJmgoWxdMcp7IlQeOhoG17JbpnfdBkDsxqCFV%2Br18R1T2cYZfA2E8SzYnSFc8J%2BQobv8pBwUWJNKI0fhtvV73PmdITkF3eP5OMaZ5O61LvJQqTY1IYOgHtWdxW13Qo3SCNr7Hs7XULPTCMSyBNriT%2BBPdUC3JjfRe%2FNNShbH9sB66rNz5AQKdRg1%2BK8ZAhLJk7%2FjmdMpaUBhV6SMcVYmzX71WKoh9PfVsIpsuDv9RbizD%2Bh5c6HLlCV0Hhw9pUJaAvJ4g3Udj5tGmcaRDedJSwZzcQYM2k%2Fli%2FkgB2AEiGlx9sExL3VABfJOB18nuMoMq6QVV%2FOuNyOfMCRBp5MlHcis0GbaqrWkA2nbhDMZH%2BtZ7mf2Rb2wa2ddthJcGH8TZh9aNX9A2BB2kq1Wi2b6J6%2BwhFJ4Ml9Xx2tE2xM7fAtvc%2BVOYkUqEyhtArWEJlX8ovx4aDYj5cfzPyODX%2BnMzO8CRg8otiNJJ1Bmv9bQBdU%2FKNTwo0ihvobkSuC%2FfR0%2BactSekkSyE1D9llAPNcaIRiVVt%2BkmRMcGqR228nJwvi4CaClEyT2hEg%2Bb3wvUJ74rZXkWQBqilQd3PQagjetoZo3q3J1WwGNQliMzRHrCgOg3KV4w4wrYHTzwY6sAF2AEOXjM81DrXUKEA2jJQ%2FJM6dffS3V%2FZpusKU65%2FlJzEDfRpNG%2BoC2HhbwNocbrB8I4NnWtKbZwVfIN4Nugwn9u9kyH8qo6AVf2cbpc24qe1Psn0GM%2FEB9NihzJpXNWyhlfeQlwdPMzxf%2F%2BpdwzHGODJo1tb9By%2FTiUim0Dm1BFwcNYogAlP1hhkM%2B9xTJJypIKWzzPnsJflWtR6LwMsS8em43gtJu%2F2B3PJW9gps%2Fw%3D%3D&response-content-disposition=inline%3B%20filename%3D%22220%20CMR%2034.00%20Appendix%20A.pdf%22&response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=ASIASH5N7RNIY7SJ2YCQ%2F20260501%2Fus-east-1%2Fs3%2Faws4\_request&X-Amz-Date=20260501T155112Z&X-Amz-SignedHeaders=host&X-Amz-Signature=09e3a281e030ceb667c625ebeede5d9001d90b02e32f837e3956856ef25d8640
",,
Extending the shelf-life of permits ,Massachusetts,Promote Certainty in Permitting Process,Action,Regulatory Change,"A provisions of the 2024 Permit Extension Act allows for automatic extension of most state and local permits for land use projects by 2 years. It also revives permits that expired between January 1, 2023, and January 1, 2025. Similar versions of this legislation were passed in 2010 and 2012. 
",,,General,Fully Implemented,"https://www.nixonpeabody.com/insights/alerts/2025/02/10/with-limited-exceptions-the-ma-permit-extension-act-extends-the-term-of-permits-and-licenses	
",,
Promoting transit-oriented housing development,Washington,"Promote Certainty in Permitting Process,Set Projects up for Success",Action,Regulatory Change,"WA Chapter 267, 2025 Laws (Promoting transit-oriented housing development) requires cities planning under the Growth Management Act (GMA) to allow multifamily housing developments that meet defined criteria in station areas near major transit stops. It also provides a 20 year tax exemption for qualifying projects.
",2025-05-13,2025-07-27,Housing and Other Building Construction,Fully Implemented,"https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/House%20Passed%20Legislature/1491-S3.PL.pdf

",recbOvODpCu8lxSCa,"Chapter 267, 2025 Laws"
Establishing the Blueprint for Utah's Infrastructure and Development (BUILD) Coordinating Council,Utah,"Shift Culture,Set Projects up for Success,Utilize Data and Technology,Change Decision-Making Level",Action,Other,"Executive Order 2025-06 established the BUILD (Blueprint for Utah's Infrastructure, Land, and Development) Coordinating Council to align long-range planning across state agencies addressing housing, transportation, water, energy, open space, and air quality. The council builds on HCR 11 (2024), which encouraged agencies to account for cross-issue growth impacts in funding and policy decisions. 
This council is headquartered at the Utah State Capitol in Salt Lake City, and its members include Chair Laura Hanson (State Planning Coordinator) as well as senior representatives from twelve state agencies and civic organizations.
Overall, this represents the creation of a new interagency coordination body as a standing institutional mechanism. 
",2025-05-28,2025-05-28,General,Partially Implemented,"https://governor.utah.gov/wp-content/uploads/EO-BUILD-Coordinating-Council-05282025.pdf
",recF9h5AllNvPV36z,EO 06-25
Allowing municipal governments to streamline residential permitting in Priority Housing Zones,Connecticut,"Consolidate or Eliminate Steps,Eliminate Permits/Permitting",Action,Regulatory Change,"A 2025 CT Law establish a voluntary ""priority housing development zone"" program, to be administered by the Department of Housing. To qualify, such zones must meet three criteria: they must be situated within an existing residential or commercial district that is appropriate for the kinds of development the program contemplates; they must be consistent with the state plan of conservation and development; and they must cover at least ten percent of the municipality's developable land

**The zone's regulations must satisfy several conditions. **

They must align with the municipal or regional housing growth plan and be reasonably expected to boost the production of new dwelling units — notably, affordability is not a stated requirement. They must also fulfill the obligations of General Statutes §§ 8-2(b)(4-6) by providing housing opportunities, including multi-family options, for all residents of both the municipality and the region; promoting housing choice and economic diversity; and explicitly permitting the types of housing identified in the state's consolidated housing plan and the State Plan of Conservation and Development.

Beyond those baseline requirements, the regulations must allow multi-family housing by right, and must set minimum density thresholds of four units per acre for single-family homes, six per acre for townhouses and duplexes, and ten per acre for multi-family buildings. Finally, project approvals may require only site plan or subdivision review — special permits and special exceptions are not permitted as prerequisites.
",2025-11-26,2026-01-01,Housing and Other Building Construction,Unknown,"https://www.taxcreditadvisor.com/articles/connecticut-2026-housing-reforms/

",recSbNKbk0BtBTuPv,HB 8002
Improving permitting in housing and across sectors,Maryland,"Shift Culture,Consolidate or Eliminate Steps,Promote Certainty in Permitting Process",Action,Regulatory Change,"- Each principal executive-branch department that issues housing-related permits must designate a senior point of contact to coordinate and speed up processing.
- Those departments must submit updated permit-processing procedures and timelines to the Governor and the Maryland Coordinated Permitting Review Council by January 1, 2026.
- The order requires standards for third-party reviewers who can help expedite permit reviews at the applicant’s expense, including qualifications, conflict rules, and procedures for accepting or rejecting their recommendations.
- Where multiple state agencies or levels of government must review a permit, the order says reviews should be simultaneous rather than sequential, to the extent allowed by law.
- Agencies must recommend ways to increase predictability and transparency in housing-related permit applications, fully digitize permit applications and permit fee payments within budget authority, and seek to reduce processing times whenever possible.

",2025-01-01,,"General,Housing and Other Building Construction",Fully Implemented,"https://governor.maryland.gov/news/Documents/Executive%20Order%2001.01.2025.19%20Addressing%20Maryland%27s%20Affordable%20Housing%20Crisis\_accessible.pdf
",reccva5d2F9AwmFiR,EO 01.01.2025.19 / ADDRESSING MARYLAND'S AFFORDABLE HOUSING CRISIS 
Updating Renewable Energy & Storage Siting Process,Michigan,"Change Decision-Making Level,Benefits for Nature/Communities,Set Projects up for Success,Promote Certainty in Permitting Process",Action,Regulatory Change,"Shift Decision-making level

Public Act 233 of 2023 transferred authority over siting of large renewable energy facilities (100 MW+) from local governments to the Michigan Public Service Commission (MPSC) at the state level, preempting local zoning for those projects. Local governments can effectively no longer deny the approval of any new projects - although there are pathways for governments to adopt state approved sitting ordinances that all them to retain local control over siting.

Ensure Meaningful Benefits for Nature and Communities

Public Act 233 of 2023 requires ""host community agreements"" (HCAs) for large renewable energy facilities sited under Michigan Public Service Commission (MPSC) authority. These are legally required agreements between developers and host communities. If an affected local government refuses to enter into a host community agreement after good-faith negotiations with the applicant, the applicant may enter into a community benefits agreement with 1 or more community-based organizations within, or that serve residents of, the affected local unit. The amount paid by the applicant under this subsection must be equal to, or greater than, what the applicant would pay to the affected local government. Community benefits agreements must prioritize benefits to the community in which the energy facility is to be located. 

Public Act 233 of 2023 also requires a minimum payment of $2,000 per MW of capacity per year to host communities for large renewable energy projects.

Set Projects up for Success

Developers of large renewable energy projects are required by PA 233 to conduct pre-application consultations with state agencies (EGLE, DNR, SHPO, MDARD) and tribal governments before filing a siting application. MPSC staff are also available for pre-application meetings via a formal questionnaire process. 

Promoting Certainty

The 2023 law also created a ""contested case"" process with defined procedural steps and timelines at the MPSC for utility-scale renewable energy siting applications, giving developers a more predictable timeline and process compared to fragmented local approvals. 
","2023-11-28,2023-11-28",2024-11-29,Clean Energy,Fully Implemented,"https://www.michigan.gov/mpsc/regulatory/facility-siting/renewable-energy-and-storage-facility-siting

https://graham.umich.edu/media/files/2025-03-14_PA-233-Overview-slide-deck.pdf
","rec30WPYpKCqB9m0a,recOql7gPhvOwHqBB","Public Act 233 of 2023,Public Act 234 of 2023"
Creating a Permitting Fast-track Program for Priority Housing Projects ,Delaware,"Consolidate or Eliminate Steps,Shift Culture",Action,Regulatory Change,"The Executive Order hopes to positively impact housing affordability by establishing a ""Housing Fast Lane"" which will prioritize housing/infrastructure projects that meet certain standards to reduce permitting timelines to a target of 120 business days. The Housing Fast Lane will put a project in simultaneous multi-agency review, a single point of contact, and reduced traffic requirements to remove timely barriers to housing projects. Furthermore, the Order ""Residential Development"" permit pathway for Priority Housing Projects for relevant DNREC permits.

The Order also establishes state standards for priority projects which further state housing goals, streamlining priority commercial mixed-use, broadband, and water and sewer projects through the fast-track program.  Such projects meeting certain criteria are eligible for selection for the fast-track program. 

Furthermore, for projects which require environmental review, the Order directed DNREC to create a ""Residential Development"" permit pathway to streamline environmental review for Priority Housing Projects.
",2026-02-26,,"Housing and Other Building Construction,Transportation",Fully Implemented,"- [Text of EO ](https://news.delaware.gov/2026/02/26/governor-matt-meyer-signs-executive-order-streamlining-state-permitting-regulations/#:~:text=can%20be%20found-,here,-%2C%C2%A0as%20well%20as)
- [Governor's Office Press Release](https://news.delaware.gov/2026/02/26/governor-matt-meyer-signs-executive-order-streamlining-state-permitting-regulations/)
- [EO FAQ ](https://www.dropbox.com/scl/fi/e8rde5jivy7g1k2ph0ndf/Permitting-Accelerator-FAQ.pdf?rlkey=y09rctvcyo6oxxf4w6pxkac3u&st=q9yo9444&dl=0)
- [EO Implementation Guidelines](https://governor.delaware.gov/wp-content/uploads/sites/219/2026/02/1043_001.pdf)
",recK8Poc6HclP3pWZ,Executive Order #18 - Implementing the Delaware Permitting Accelerator 
Establishing a Mandatory Statewide Two-step Administrative Subdivision Review Process with Statutory Timelines,Utah,"Consolidate or Eliminate Steps,Promote Certainty in Permitting Process,Set Projects up for Success,Change Decision-Making Level",Action,Regulatory Change,"Before Chapter 501, 2023 subdivision review in Utah was governed by variable local processes with statewide timeline requirements. The bill standardized that process by statute, mandating a two-step administrative review, requiring designation of a dedicated review authority separate from the planning commission, and imposing a 40-day maximum review timeline for residential plats. 
This converts what had been an open-ended local discretionary process into an administrative one, with state code governing as a default if local ordinances were not updated by the compliance deadline.
",2023-03-23,2023-05-03,Housing and Other Building Construction,Fully Implemented,"https://le.utah.gov/~2023/bills/static/SB0174.html
",recIrDrtwdSQ6DJcC,"Chapter 501, 2023"
Eliminating Discretionary Review for Accessory Dwelling Units,Idaho,"Consolidate or Eliminate Steps,Promote Certainty in Permitting Process,Change Decision-Making Level,Set Projects up for Success",Action,Regulatory Change,"Senate Bill 1354 supersedes HB 166 (2023) as a comprehensive accessory dwelling unit reform, covering both attached and detached units. 
This legislation limits both local zoning authority and homeowners associations covenant authority, removing public law and private law blocking mechanisms at the same time. The prohibition on parking requirements (with limited exceptions) and setback parity removes conditions that had made accessory dwelling units economically impractical to build.
This bill also defined size protections, parking standards and setback parity rules among others in order to give applicants statewide objective criteria.

",2026-03-31,2026-07-01,Housing and Other Building Construction,Partially Implemented,"https://legislature.idaho.gov/sessioninfo/2026/legislation/S1354/
",recCENu1BbfOZOOgC,S.B 1354 (2026)
Cataloging of State Permits,Michigan,"Consolidate or Eliminate Steps,Eliminate Permits/Permitting,Change Decision-Making Level,Shift Culture",Tool,Permit Cataloging/Mapping,"Executive Directive 2023-04 (August 2023) required all state agencies to catalog their permits and identify obsolete, duplicative, or unnecessary requirements for elimination. The results of this cataloging exercise are not immediately clear.
",2023-08-03,2023-11-03,General,Unknown,"https://www.michigan.gov/whitmer/news/state-orders-and-directives/2024/07/18/executive-order-2024-5-executive-reorganization

",rec6ENKYi8hopNAdS,Executive Directive 2023-04 
Preventing Excessive Conditions on the Approval of Facilities that Process Compost,Florida,"Shift Culture,Promote Certainty in Permitting Process",Action,Regulatory Change,"Florida Chapter 2026-7 provides that a local government permit or other approval for a facility that processes compost may not be conditioned on the purchase of additional property by the applicant to expand the footprint of an existing privately-owned road. 
",2026-03-27,2026-07-01,Housing and Other Building Construction,Fully Implemented,"https://www.flsenate.gov/Session/Bill/2026/399/BillText/er/PDF

",recQqBMX5a3VvKnVt,Chapter 2026-7
Expanding Use of Mitigation Credits Outside of Service Area,Florida,Benefits for Nature/Communities,Action,Regulatory Change,"Florida Chapter 2025-191 allows permit applicants a one-time use of credits from a mitigation bank outside the mitigation bank service area when an insufficient number or type of credits are available within the impacted area.
",2025-06-26,2025-07-01,Water,Fully Implemented,"https://flsenate.gov/Session/Bill/2025/492/BillText/Filed/PDF
",rectQqhPgfHhZn9Ne,Chapter 2025 - 191
Establishing a Fast Track for High-Impact Economic Development and Infrastructure Projects,Pennsylvania,"Shift Culture,Change Decision-Making Level,Consolidate or Eliminate Steps,Promote Certainty in Permitting Process,Set Projects up for Success",Action,Applicant Support,"[PA Permit Fast Track Program](https://www.pa.gov/agencies/oto/fasttrack) is available to significantly large economic development projects. If a project is enrolled in the program, it can receive accelerated state permitting reviews.
",2024-11-19,2024-11-19,"General,Transportation,Fossil Fuels,Clean Energy,Data Centers",Fully Implemented,"https://www.pa.gov/agencies/oto/fasttrack
",recV3mkLVPCVSFSU1,EO 2024-04
Accelerating and Prioritizing State Siting and Permitting for Wind and Solar Projects.,Oregon,"Shift Culture,Consolidate or Eliminate Steps",Action,Regulatory Change,"The Oregon Department of Energy (ODOE) must actively identify and flag solar and wind projects seeking state siting approvals that face the July 4, 2026 deadline to begin construction and qualify for federal clean energy tax credits. This identification requirement ensures the agency can pinpoint which developers need expedited processing to avoid losing up to 30% of project costs in federal incentives if they miss the deadline. Projects demonstrating secured utility contracts and benefits to Oregon ratepayers receive highest priority under this identification framework.
",2025-10-06,,Clean Energy,Partially Implemented,"https://www.oregon.gov/gov/eo/eo-25-25.pdf
",recwLsTXwUi0fUcF6,EO 25-25 
Creating Voluntary Affordable Homeownership Density Bonus for Single-Family Residential Units,Utah,"Promote Certainty in Permitting Process,Change Decision-Making Level,Set Projects up for Success",Action,Regulatory Change,"This law is an incentive-based tool that creates a new pathway for single-family residential projects by making higher density a local option contingent on affordability conditions. 
This law establishes a tool that cities can use voluntarily, wherein cities that adopt the density bonus framework provide developers a path to denser projects. 
Lastly, there are now clear criteria (60% owner-occupancy deed-restriction, 25% affordable units, 25% under 1600 sq ft) that trigger the density bonus entitlement. 
",2025-03-12,2025-05-07,Housing and Other Building Construction,Fully Implemented,"https://le.utah.gov/~2025/bills/static/HB0037.html
",recHgmM9AiAiCqeca,"Chapter 36, 2025"
Establishing Infrastructure Office to Oversee Permitting for Large Projects,Michigan,"Promote Certainty in Permitting Process,Change Decision-Making Level,Shift Culture,Set Projects up for Success",Action,Reorganization or Creation of New Government Offices,"Created under ED 2022-6 (2022) and further strengthened by ED 2023-04, the MIO serves as a single point of contact for applicants on large infrastructure projects ($50M+), coordinating permitting across all relevant state agencies. It requires agencies to develop coordinated permitting timelines and mandates a public dashboard to track permit progress.  The MIO acts as a single point of accountability across agencies to keep projects on schedule. 

The Office also coordinates with the Governor's cabinet on broader policy-making for infrastructure financing and approvals
","2022-06-01,2023-08-03",2022-01-01,"General,Transportation,Data Centers,Other",Fully Implemented,"https://www.michigan.gov/whitmer/issues/michigan-infrastructure-office
","reccBODbrPtaAAwHi,rec6ENKYi8hopNAdS","Executive Directive 2022-6,Executive Directive 2023-04 "
Streamlining the Administrative Process for Lot Divisions ,Washington,"Shift Culture,Consolidate or Eliminate Steps",Action,Regulatory Change,"Washington's 2025 legislative session advanced several measures to streamline local land use permitting for housing. One law required cities to establish an administrative process for splitting a single lot into two, with criteria set by the state and no pre-decision public hearing required. A second law created a new ""unit lot subdivision"" process for urban growth areas, mandating clear objective standards, notice to nearby property owners, and specific plat disclosures, with implementation tied to the next comprehensive plan update or within two years. A third law expanded binding site plans—previously limited to commercial and industrial properties—to cover residential and mixed-use development as well. Taken together, the three laws push local governments toward faster, more ministerial review processes and away from discretionary public hearings for a broader range of housing and development decisions.
","2025-05-17,2025-05-13,2025-05-07",2025-07-27,Housing and Other Building Construction,Fully Implemented,"https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/House%20Passed%20Legislature/1096-S2.PL.pdf
https://deptofcommerce.app.box.com/s/plmsfnkmt79zwucxq8w0fftxzznjnn8v

https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/Senate%20Passed%20Legislature/5559.PL.pdf

https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/Senate%20Passed%20Legislature/5611-S.PL.pdf

","recU15i7vuQDedquQ,recElbw8SUeu4M1EK,rectT6TySbWIVZUVY","Chapter 301, 2025 Laws,Chapter 271, 2025 Laws,Chapter 208, 2025 Laws"
Preventing new administrative rules,Alabama,"Consolidate or Eliminate Steps,Promote Certainty in Permitting Process",Action,Regulatory Change,"Governor Kay Ivey signed an executive order on March 8, 2023 establishing a moratorium on new administrative rules through March 1, 2024
",2023-03-08,2024-03-01,General,Fully Implemented,"https://governor.alabama.gov/newsroom/2023/03/executive-order-735/
",recaZwXq2DpicxLrj,EO 735
Reducing Timelines to Approval for Development Projects,Delaware,Consolidate or Eliminate Steps,Action,Regulatory Change,"HB 104 and HB 102 were both introduced and passed as a parts of the ""Ready in 6"" bill package. 

 HB 102 amends Title 17 of the Delaware Code to expedite commercial and economic development projects by creating strict deadlines for the issuance of entrance permits, whereas before there was no statutory deadline for this process. The Act establishes a 10 business day deadline to issue a temporary entrance permit after receiving complete applications and materials, so that construction can continue even as DelDOT completes further review. 

HB 104 amends Title 29 of the Delaware Code to create a categorical exclusion from the Preliminary Land Use Service (PLUS) pre-application review process, which is a multi-agency review process that can take several months. Economic development projects that meet certain standards are exempted from this process. 

Together, these Acts eliminate bottlenecks at the front and back ends of the permitting process that slow approval.
","2023-06-20,2023-06-20",,"Housing and Other Building Construction,General",Fully Implemented,"https://www.jdsupra.com/legalnews/delaware-moves-forward-with-legislation-4114984/
","recjbBeqOafvEGdBP,recbtVemX8jnqQbKc","HB 104 ,HB 102"
Providing Zoning Reform Technical Assistance to Local Governments,Delaware,Consolidate or Eliminate Steps,Action,Applicant Support,"Senate Joint Resolution 8 directs the DSHA to provide free technical assistance to local governments to reform zoning codes in efforts to eliminate time-consuming barriers or unnecessary permit denials. 

Participation in this program to modernize zoning codes is voluntary, with participants needing to apply to receive free assistance. Participants select from several options the program offers and works with DSHA towards implementation, attending workshops and meetings offered by the department.
",2025-08-21,,General,Fully Implemented,"https://legis.delaware.gov/BillDetail/142432

https://www.destatehousing.com/planning-assistance/

",recm6dE0NODR3d9gO,SJR 8
Simplifying and aligning programs and policies ,Vermont,"Shift Culture,Consolidate or Eliminate Steps,Set Projects up for Success,Promote Certainty in Permitting Process",Action,"Regulatory Change,Applicant Support","- Simplified the State’s Designation Program to encourage new development and redevelopment in compact designated areas.
- Aligned policies and added technical assistance for communities.
- Charged the Board with developing rules and reviewing regional plans and maps to implement the tiered framework.

",2024-06-01,,"General,Housing and Other Building Construction",Fully Implemented,"https://act250.vermont.gov/new-land-use-review-framework-act-181
",recFuBEwOwPBxWzT3,Act 181 (H.687)
Investing in Permitting Workforce to Expedite Timelines,South Carolina,"Building the Permitting Workforce,Promote Certainty in Permitting Process",Action,Other,"Governor McMaster announced he had appropriated funds of $13.7 million to invest in the necessary permitting workforce to tackle the backlog of environmental permit applications, and as a condition for this appropriation, he set a requirement for SCDES to make permitting decisions within a 90-day window. 

Gov. McMaster: ""_My Executive Budget provides the DES with an appropriation of $13.7 million to hire and train the additional personnel necessary to reduce the current backlog of existing environmental permit applications. In addition, with this appropriation, the agency will be required to issue future permitting decisions within 90 days of the application submission.""_
",2025-01-13,2025-01-13,Clean Energy,Fully Implemented,"https://governor.sc.gov/news/2025-01/governor-henry-mcmaster-announces-fiscal-year-2025-2026-executive-budget
",recDpnUbEsP8IOH0u,Fiscal Year 2025-2026 Executive Budget
Providing Pre-Application Meetings for Water Permits,Arizona,Set Projects up for Success,Action,Applicant Support,"ADEQ’s drinking water engineering review guidance explicitly offers optional pre‑application meetings for applicants planning to construct drinking water facilities, where applicants can bring relevant documents and discuss requirements with engineers before submitting. This helps clarify expectations, potentially preventing delays and misunderstandings in the permitting process.
",,,Water,,"https://azdeq.gov/aquifer-protection-permit-app-pre-application-meeting-request
https://www.mohave.gov/media/45jn041n/application-for-approval-to-construct-drinking-water-facilities-jan-2023.pdf

",,
"Restricting Lot Sizes Greater than 1,500 Square Feet in Cities of over 10,000 People",Idaho,"Change Decision-Making Level,Consolidate or Eliminate Steps,Set Projects up for Success,Promote Certainty in Permitting Process",Action,Regulatory Change,"This bill removes the ability for Idaho's cities to impose any minimum lot size they chose for property development. This bill removes that tool for cities with a population above 10,000 in qualifying subdivisions of four acres or more, mandating lot sizes down to 1,500 square feet and densities of up to 12 units per acre. 
The infrastructure capacity exception preserves a local veto for infrastructure constraints. 
Overall, this bill establishes statewide minimum standards for subdivision approval.
",2026-03-31,2026-07-01,Housing and Other Building Construction,Not Started,"https://legislature.idaho.gov/sessioninfo/2026/legislation/S1352/
",recAV2mlRKnQrDYyB,S.B 1352 (2026) 
Prohibiting Excessive Requirements for Accessory Dwelling Units,West Virginia,Shift Culture,Action,Regulatory Change,"West Virginia Chapter 241, Acts, Regular Session, 2026 prohibits municipalities from adopting policies that restrict accessory dwelling units on lots with  a single-family dwelling. This includes parking requirements, exterior design requirements, requirements to improve public streets and minimum building heights more restrictive than single-family dwellings. 
",2026-03-14,2026-06-04,Housing and Other Building Construction,Fully Implemented,"http://www.wvlegislature.gov/Bill_Text_HTML/2026_SESSIONS/RS/bills/sb659%20sub1%20eng.pdf

",recZi1tlWc1CjkDXN,"Chapter 241, Acts, Regular Session, 2026"
Resources for Michigan Wetland Mitigation,Michigan,Benefits for Nature/Communities,Action,Written Resource,"Michigan EGLE has published guidance and requirements for wetland compensatory mitigation. The state requires compensatory mitigation for impacts to wetlands exceeding one-third acre. The requirements can be waived if the primary purpose of the work is to create or restore wetlands.

Acceptable mitigation methods include wetland restoration, creation, enhancement, or preservation, and can be achieved through mitigation banking, in-lieu fee programs, or permittee-responsible mitigation. EGLE provides guidance documents and an approved mitigation bank list.
",,,General,Fully Implemented,"https://www.michigan.gov/egle/about/organization/water-resources/wetlands/mitigation

",,
Streamlining of State Regulatory Framework,West Virginia,"Shift Culture,Consolidate or Eliminate Steps",Action,Regulatory Change,"West Virginia EO 6-25 aims to ""reduce of outdated, overly complex, and inconsistent rules"" by instructing all cabinet secretaries and department heads to identify confusing or inconsistent rules being enforced by their agencies. Agencies are instructed to make recommendations to the Governor of any strategies to simplify or streamline identified rules within 100 days of the order.
",2025-01-14,2025-01-14,General,Fully Implemented,"https://apps.sos.wv.gov/adlaw/executivejournal/readpdf.aspx?DocID=97524

",recaTM6zICZGDEjRf,EO 6-25
Automatically granting intervenor status to host communities,Massachusetts,Benefits for Nature/Communities,Action,Regulatory Change,"To ensure communities have a voice in siting decisions, the 2024 Climate Act ensure municipalities that are hosting energy infrastructure facilities before the EFSB will be granted automatic intervenor status in EFSB proceedings.
",,,Clean Energy,Fully Implemented,"https://www.mass.gov/news/healey-driscoll-administration-finalizes-streamlined-energy-siting-and-permitting-process-with-nation-leading-community-engagement-requirements

",,
Establishing a Build Ready Program,New York,"Consolidate or Eliminate Steps,Promote Certainty in Permitting Process,Set Projects up for Success",Action,"Permit Cataloging/Mapping,Applicant Support","Authorizes NYSERDA to identify underutilized sites (brownfields, landfills, former industrial sites), acquire site control, and conduct permitting, design, engineering, and interconnection studies to prepare sites for renewable energy development. NYSERDA then transfers development rights to private developers through competitive RFP, with pre-completed environmental review and community engagement already in hand, expediting private-sector deployment on difficult-to-develop sites.
",,,Clean Energy,Fully Implemented,"https://www.nyserda.ny.gov/All-Programs/Build-Ready-Program

",,
"Directs the Department of Environmental Quality and Division of Oil, Gas, and Mining to Assess and Recommend Expansions to Streamlined Permitting Pathways for Large Projects",Utah,"Utilize Data and Technology,Promote Certainty in Permitting Process,Consolidate or Eliminate Steps,Shift Culture",Action,"Written Resource,Other,Regulatory Change","Executive Order 2025-01 directs the Utah Department of Environmental Quality and the Division of Oil, Gas, and Mining to identify opportunities to expand permitting by rule and general permitting for large, complex projects not currently eligible for those streamlined pathways, and to evaluate improvements to plantwide applicability limitation permit processes. Both agencies were required to engage stakeholders, benchmark other states' frameworks, and submit final reports to the Governor by October 1, 2025.
",2025-01-07,2025-01-07,"Mining and Critical Minerals,General",Partially Implemented,"https://governor.utah.gov/press/gov-cox-signs-executive-order-to-streamline-permitting-and-empower-utahns-to-build-a-future-of-abundance/
",recIErbavcqbIXcU2,EO 01-25
Creating Clear and Standard Permitting Process for Wind Energy,Arkansas,Change Decision-Making Level,Action,Regulatory Change,"Act 945 creates Arkansas's first-ever state permitting framework for wind energy facilities of 5 MW or larger exceeding 200 feet in height by granting the Arkansas Public Service Commission (APSC) exclusive authority to permit wind projects statewide.
",2025-04-22,2025-04-22,Clean Energy,Fully Implemented,"https://legiscan.com/AR/text/SB437/id/3218979/Arkansas-2025-SB437-Chaptered.pdf

",recRt3JYqjQqqnPwh,Senate Bill 437/Act 945 of the 2025 Regular Session/The Arkansas Wind Energy Development Act
Establishing Procedures for Certified Recovery Residences,Florida,"Shift Culture,Set Projects up for Success,Promote Certainty in Permitting Process",Action,Regulatory Change,"Florida Chapter 2025-182 requires counties and municipalities to adopt an ordinance establishing procedures for the review and approval of certified recovery residences, including a process for requesting reasonable accommodations from land use regulations that otherwise prohibit them. It sets requirements for these ordinances with the intent to ""simplify the establishment and maintenance of a recovery residence"".

Recovery residences are alcohol- and drug-free living environments for individuals in recovery from alcohol and drugs. Florida has a voluntary certification program for recovery residences.

",2025-06-25,2025-07-01,Housing and Other Building Construction,Fully Implemented,"https://www.flsenate.gov/Session/Bill/2025/954/BillText/er/PDF
",recAXrdfc7wqebLur,Chapter 2025-182
